pId,status,charge,mass,pt,phi,eta,p,beta,gamma,less10Gev,foundNearTrack,ctau,ctau*boost,event,run,luminosityBlock,validHits,trackPt,trackPhi,trackEta
-1000024,62,-1,700.048,358.41900000000004,-0.368184,0.08468060000000001,359.705,0.457027,1.12429,0,1,69.0587,134.4,65,1,1,11,287.01099999999997,-0.368344,0.08491699999999999
1000024,62,1,700.048,179.082,1.8816,1.85927,588.715,0.643625,1.30661,0,1,97.5855,116.04,64,1,1,8,151.665,1.8817099999999998,1.85925
-1000024,62,-1,700.048,325.268,-1.3864,0.00307758,325.27,0.421375,1.10267,0,0,0.10711300000000001,0.23053,64,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,315.198,-2.1931,1.09968,525.78,0.600544,1.25064,0,1,38.148,50.792,71,1,1,3,146.57299999999998,-2.1924799999999998,1.09968
-1000024,62,-1,700.048,242.59799999999998,-3.08887,-0.663212,297.936,0.39160300000000003,1.0868,0,0,9.63757,22.645,67,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,243.385,-0.33992100000000003,-1.34515,498.851,0.580327,1.2279200000000001,0,1,50.6186,71.03399999999999,74,1,1,5,344.92400000000004,-0.34005,-1.34499
-1000024,62,-1,700.048,245.28799999999998,2.79029,-2.03702,956.4,0.806933,1.69307,0,1,125.068,91.545,74,1,1,9,272.689,2.7904299999999997,-2.03701
1000024,62,1,700.048,344.851,2.70539,-1.90569,1185.04,0.860991,1.9661,0,1,72.0251,42.548,73,1,1,6,920.83,2.70503,-1.9056799999999998
-1000024,62,-1,700.048,354.105,-0.414933,-1.0081,549.8,0.6176560000000001,1.27154,0,1,17.6796,22.511,73,1,1,3,251.65200000000002,-0.414969,-1.0079799999999999
1000024,62,1,700.048,92.1465,0.8216319999999999,-2.80238,762.2589999999999,0.7365229999999999,1.4783899999999999,0,0,1.07473,0.9870200000000001,70,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,357.958,-2.27769,0.41133000000000003,388.66900000000004,0.485408,1.1437899999999999,0,0,9.47344,17.063,68,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,107.821,-1.5027700000000002,0.048987199999999995,107.95100000000001,0.15240399999999998,1.0118200000000002,0,1,24.2965,157.56,68,1,1,4,107.804,-1.50227,0.0492714
-1000024,62,-1,700.048,497.49300000000005,-1.9406599999999998,0.33017399999999997,524.8580000000001,0.59987,1.24985,0,1,45.7645,61.04,72,1,1,9,554.755,-1.94068,0.330353
1000024,62,1,700.048,439.65,-3.1202099999999997,-1.0353,697.082,0.705604,1.4112200000000001,0,0,30.6397,30.77,77,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,349.23800000000006,-1.8165900000000001,-0.8728819999999999,490.949,0.574181,1.22141,0,0,8.39326,11.968,79,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,341.481,1.2825600000000001,-0.824774,464.36300000000006,0.552774,1.2,0,0,13.9518,21.033,79,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,705.3560000000001,-2.03074,0.0126841,705.413,0.709801,1.41964,0,1,167.595,166.32,76,1,1,19,751.975,-2.03079,0.0131684
-1000024,62,-1,700.048,731.314,1.14658,0.546924,843.446,0.769487,1.56577,0,1,194.967,161.82,76,1,1,19,675.42,1.1465,0.546917
1000024,62,1,700.048,517.06,-2.752,-0.891114,736.304,0.724725,1.4513,0,1,480.7,457.03,75,1,1,15,478.084,-2.75199,-0.891051
1000024,62,1,700.048,330.519,0.46326999999999996,-0.00317765,330.52099999999996,0.426946,1.10586,0,1,35.9974,76.243,81,1,1,7,146.767,0.46367700000000006,-0.00356204
-1000024,62,-1,700.048,368.98199999999997,-2.5744599999999997,-0.168062,374.205,0.471418,1.1339,0,0,8.779860000000001,16.425,81,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,137.458,2.90024,1.8892799999999998,465.00800000000004,0.553307,1.20051,0,1,69.9391,105.29,84,1,1,4,117.92200000000001,2.90009,1.8893799999999998
-1000024,62,-1,700.048,214.543,-0.14790599999999998,2.89227,1940.5,0.9406610000000001,2.94682,0,0,824.2139999999999,297.34,84,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,420.81300000000005,-1.2192,-0.037956300000000005,421.116,0.515474,1.16699,0,0,2.24031,3.7242,78,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,261.969,2.1425099999999997,1.12333,445.384,0.5367890000000001,1.18523,0,1,63.94,100.5,78,1,1,9,178.468,2.14215,1.12331
1000024,62,1,700.048,300.221,-0.614681,-1.25138,567.611,0.6298050000000001,1.28741,0,1,35.1943,43.406000000000006,80,1,1,3,429.61800000000005,-0.615368,-1.25122
1000024,62,1,700.048,533.529,-0.0569427,-1.9942400000000002,1996.12,0.943651,3.02168,0,1,294.408,103.25,90,1,1,24,513.97,-0.0568383,-1.99422
1000024,62,1,700.048,733.9010000000001,-0.890766,1.22095,1352.34,0.888067,2.1752700000000003,0,1,1010.15,522.91,86,1,1,18,869.785,-0.890804,1.22082
1000024,62,1,700.048,364.779,-2.6745900000000002,-1.81292,1147.51,0.8536809999999999,1.92013,0,0,23.000999999999998,14.032,85,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,304.04,0.210075,-2.24647,1453.33,0.9009299999999999,2.3043299999999998,0,1,103.686,49.943999999999996,85,1,1,4,79.4487,0.209546,-2.2467799999999998
1000024,62,1,700.048,663.29,-2.04648,-0.33021,699.7819999999999,0.706972,1.41395,0,1,53.4937,53.513999999999996,87,1,1,10,472.626,-2.0463299999999998,-0.33005
1000024,62,1,700.048,279.128,-1.1819600000000001,1.26709,534.8290000000001,0.6070909999999999,1.25844,0,1,91.9843,120.4,83,1,1,7,377.60699999999997,-1.18223,1.26695
1000024,62,1,700.048,160.173,-0.47889499999999996,0.893231,228.43400000000003,0.310215,1.05189,0,0,7.863160000000001,24.096999999999998,82,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,127.815,1.0933,-1.2898,249.71,0.33597,1.06171,0,0,14.9859,42.012,89,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,183.614,3.04695,2.51652,1144.48,0.8530690000000001,1.91645,0,1,101.556,62.119,89,1,1,5,154.595,3.0470900000000003,2.5160299999999998
1000024,62,1,700.048,331.73900000000003,-3.1168400000000003,-0.601871,393.66,0.490151,1.14727,0,1,30.5803,54.381,91,1,1,3,203.78,-3.11828,-0.6025229999999999
1000024,62,1,700.048,541.857,-1.56885,1.7261,1570.49,0.9133680000000001,2.4561900000000003,0,1,237.15,105.71,96,1,1,31,548.362,-1.56881,1.72597
1000024,62,1,700.048,69.2045,-2.52053,2.5232200000000002,434.221,0.527108,1.17675,0,1,87.6136,141.25,88,1,1,6,27.6368,-2.51962,2.52298
1000024,62,1,700.048,362.00199999999995,-0.420058,-0.9429770000000001,535.234,0.6073810000000001,1.2588,0,1,42.8135,55.997,93,1,1,6,548.883,-0.420195,-0.943184
-1000024,62,-1,700.048,236.31400000000002,2.6404099999999997,-1.12227,401.423,0.497442,1.1527399999999999,0,1,73.5873,128.33,93,1,1,8,228.799,2.64036,-1.12234
1000024,62,1,700.048,301.211,2.985,1.73849,883.2289999999999,0.78369,1.60991,0,0,15.6523,12.405999999999999,99,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,349.61699999999996,-1.51682,-0.973611,528.832,0.602766,1.25326,0,1,113.699,150.51,98,1,1,11,395.69800000000004,-1.517,-0.9735020000000001
1000024,62,1,700.048,355.86800000000005,-2.83829,-1.8850900000000002,1199.05,0.863591,1.98337,0,1,287.753,168.0,94,1,1,23,333.89,-2.83823,-1.88513
1000024,62,1,700.048,530.988,-1.4130200000000002,-0.458667,587.827,0.6430560000000001,1.30579,0,1,15.7712,18.782,92,1,1,3,723.3810000000001,-1.41305,-0.458581
1000024,62,1,700.048,578.16,2.52065,-0.845253,797.2869999999999,0.751445,1.51562,0,0,29.5853,25.976999999999997,97,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,888.314,-0.0852453,-0.341641,940.6619999999999,0.802225,1.67498,0,1,361.969,269.38,101,1,1,17,746.078,-0.085207,-0.34170300000000003
-1000024,62,-1,700.048,509.583,-0.824809,-1.64068,1363.78,0.889639,2.1897900000000003,0,1,194.93,100.06,102,1,1,13,458.80199999999996,-0.8248639999999999,-1.64055
-1000024,62,-1,700.048,329.82300000000004,-1.06677,1.18275,588.696,0.643613,1.30659,0,1,31.7092,37.707,95,1,1,4,2014.16,-1.06631,1.18276
-1000024,62,-1,700.048,422.65,-2.8393900000000003,-0.192436,430.5,0.523834,1.1739600000000001,0,1,132.487,215.44,107,1,1,18,381.10900000000004,-2.8395200000000003,-0.191936
1000024,62,1,700.048,375.685,2.74648,-1.53342,910.9960000000001,0.792926,1.6411799999999999,0,1,67.4299,51.816,100,1,1,6,739.998,2.74621,-1.5333
-1000024,62,-1,700.048,121.32799999999999,-2.86032,2.30819,616.0790000000001,0.66065,1.3321,0,1,56.8127,64.556,104,1,1,6,32.7605,-2.86171,2.3082
1000024,62,1,700.048,465.337,1.63332,1.30034,917.405,0.794984,1.64845,0,1,32.5146,24.811,106,1,1,3,92.2866,1.63415,1.2997
1000024,62,1,700.048,615.126,1.0029700000000001,0.5028189999999999,694.539,0.704308,1.40866,0,1,404.43199999999996,407.64,109,1,1,18,663.69,1.00291,0.502633
1000024,62,1,700.048,226.822,0.526736,3.04242,2382.04,0.959426,3.5465800000000005,0,0,437.21,128.49,111,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,438.82,1.75531,1.60707,1138.44,0.851836,1.9090900000000002,0,1,452.825,278.45,103,1,1,25,491.125,1.75528,1.60709
1000024,62,1,700.048,754.5310000000001,-0.2082,-0.5375270000000001,866.186,0.77775,1.5909,0,1,130.389,105.38,105,1,1,21,744.91,-0.208262,-0.537925
-1000024,62,-1,700.048,653.669,2.81866,-0.555261,757.052,0.734208,1.47292,0,1,133.719,123.65,105,1,1,19,660.367,2.8186400000000003,-0.555099
-1000024,62,-1,700.048,570.903,-1.6580700000000002,-0.0255083,571.089,0.632125,1.29054,0,1,30.9558,37.946,108,1,1,4,96.6454,-1.65913,-0.026226799999999998
-1000024,62,-1,700.048,679.706,-1.3909799999999999,-1.24908,1282.57,0.877762,2.0872599999999997,0,1,34.3339,18.74,110,1,1,3,1009.13,-1.39087,-1.24911
1000024,62,1,700.048,591.285,-2.3735,1.31735,1182.97,0.8606020000000001,1.9635599999999998,0,1,87.9192,52.028,114,1,1,8,745.12,-2.3736200000000003,1.31745
1000024,62,1,700.048,200.56900000000002,1.39237,-0.706759,252.783,0.33963000000000004,1.0632,0,1,16.3583,45.302,118,1,1,3,54.7273,1.39028,-0.706224
1000024,62,1,700.048,247.169,0.466426,0.330514,260.79200000000003,0.349098,1.06714,0,1,13.7533,36.918,117,1,1,3,24.0385,0.462692,0.330941
-1000024,62,-1,700.048,249.109,-2.92104,2.16367,1098.31,0.8432700000000001,1.8605,0,1,48.4038,30.851999999999997,117,1,1,4,32.9255,-2.91812,2.1622
1000024,62,1,700.048,448.19800000000004,-1.9682099999999998,-2.02652,1729.91,0.926976,2.6658,0,1,160.994,65.15,115,1,1,11,537.4580000000001,-1.9683099999999998,-2.02636
1000024,62,1,700.048,194.105,0.361925,0.802592,260.05,0.348225,1.06677,0,1,91.9402,247.5,113,1,1,12,168.102,0.362153,0.8023020000000001
-1000024,62,-1,700.048,330.091,-2.5276400000000003,1.92165,1151.79,0.854541,1.92536,0,0,13.1713,8.0054,113,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,219.016,1.51481,-1.7351299999999998,640.192,0.674855,1.3551,0,1,42.045,45.976000000000006,112,1,1,3,109.421,1.51508,-1.7351400000000001
-1000024,62,-1,700.048,259.435,-0.08036489999999999,-1.76079,776.872,0.742884,1.49383,0,1,153.4,138.23,112,1,1,15,309.39,-0.0801012,-1.7607099999999998
-1000024,62,-1,700.048,813.3530000000001,1.40256,0.741201,1047.19,0.8313459999999999,1.79935,0,1,59.5586,39.815,123,1,1,9,1460.55,1.40275,0.741138
1000024,62,1,700.048,581.289,1.90575,0.321729,611.634,0.6579520000000001,1.32792,0,1,163.059,186.63,125,1,1,17,712.422,1.90556,0.321866
-1000024,62,-1,700.048,190.983,0.534405,-2.6655599999999997,1379.43,0.89174,2.20971,0,0,80.4094,40.806999999999995,120,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,208.22299999999998,-2.06297,2.29957,1048.42,0.8316469999999999,1.8008099999999998,0,0,11.3215,7.5596,119,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,486.686,-2.5032900000000002,-1.49381,1138.5,0.8518469999999999,1.9091599999999997,0,1,48.8089,30.011999999999997,122,1,1,3,194.798,-2.50304,-1.4937200000000002
-1000024,62,-1,700.048,545.513,0.6029680000000001,-1.7498099999999999,1616.72,0.917665,2.51665,0,1,139.017,60.195,122,1,1,15,959.0060000000001,0.603087,-1.7498
1000024,62,1,700.048,405.36699999999996,-0.509563,1.2797100000000001,785.1410000000001,0.746396,1.50263,0,1,160.472,143.08,124,1,1,10,420.32599999999996,-0.5095069999999999,1.27983
