,mass,charge,p,pdgId,status,pt,eta,phi,beta,gamma,event,run,luminosityBlock,foundTrack,trackCharge,trackPt,trackPhi,trackEta,validHits,missingInnerHits,trackHits,missingOuterHits,validLayers,hpmissingOuterHits
12788,700.048,1,293.77099999999996,1000024,62,177.704,-1.08841,-0.914684,0.386954,1.0844799999999999,9678,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12789,700.048,-1,462.741,-1000024,62,195.815,-1.5050299999999999,1.49391,0.551431,1.19872,9678,1,1,1,-1,198.878,1.49389,-1.50404,13,1,0,2,10,5
12790,700.048,-1,969.002,-1000024,62,798.959,0.641378,2.9787,0.810595,1.70763,9684,1,1,1,1,2962.22,2.97912,0.641406,7,1,0,2,5,6
12791,700.048,1,347.461,1000024,62,259.545,0.8014600000000001,1.45145,0.444588,1.1164,9685,1,1,1,1,73.3774,1.45252,0.801559,4,1,0,2,4,5
12792,700.048,-1,275.716,-1000024,62,210.762,0.7662180000000001,-1.70108,0.36645500000000003,1.07477,9685,1,1,1,-1,32.0608,-1.7036900000000001,0.766748,3,1,0,2,3,3
12793,700.048,1,479.98800000000006,1000024,62,479.881,0.021068200000000002,-1.24472,0.565492,1.21248,9687,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12794,700.048,-1,1879.95,-1000024,62,497.80800000000005,-2.00393,1.8824599999999998,0.937135,2.8656099999999998,9687,1,1,1,-1,581.873,1.88248,-2.0039599999999997,21,1,0,2,16,0
12795,700.048,1,1357.31,1000024,62,587.246,-1.4804899999999999,-0.484867,0.888754,2.18158,9686,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12796,700.048,1,679.373,1000024,62,443.55400000000003,0.990218,0.964874,0.69643,1.39349,9688,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12797,700.048,1,286.257,1000024,62,242.21099999999998,0.59429,1.90565,0.37849,1.08037,9689,1,1,1,1,119.479,1.9061599999999999,0.594387,4,1,0,2,4,5
